Rank,Club,Country,Level,Elo,From,To
1,Bayern,GER,1,2022.38757324,2021-10-31,2021-11-02
2,Man City,ENG,1,1994.35766602,2021-10-31,2021-11-02
3,Liverpool,ENG,1,1989.32104492,2021-10-31,2021-11-02
4,Chelsea,ENG,1,1955.0723877,2021-10-31,2021-11-02
5,Real Madrid,ESP,1,1931.96984863,2021-10-31,2021-11-02
6,Paris SG,FRA,1,1914.09240723,2021-10-30,2021-11-02
7,Man United,ENG,1,1900.56567383,2021-10-31,2021-11-02
8,Atletico,ESP,1,1882.85510254,2021-11-01,2021-11-02
9,Inter,ITA,1,1871.05578613,2021-11-01,2021-11-02
10,Ajax,NED,1,1870.56066895,2021-11-01,2021-11-03
11,Arsenal,ENG,1,1858.60668945,2021-10-31,2021-11-02
12,Dortmund,GER,1,1849.81652832,2021-10-31,2021-11-02
13,West Ham,ENG,1,1849.35083008,2021-11-01,2021-11-02
14,Sevilla,ESP,1,1846.44213867,2021-11-01,2021-11-02
15,Barcelona,ESP,1,1843.19689941,2021-11-01,2021-11-02
16,Napoli,ITA,1,1822.85241699,2021-11-01,2021-11-02
17,Milan,ITA,1,1820.38000488,2021-11-01,2021-11-02
18,Juventus,ITA,1,1817.48730469,2021-11-01,2021-11-02
19,Porto,POR,1,1817.05285645,2021-11-01,2021-11-02
20,Atalanta,ITA,1,1807.00915527,2021-10-31,2021-11-02
21,Villarreal,ESP,1,1791.81945801,2021-11-01,2021-11-02
22,Tottenham,ENG,1,1790.3170166,2021-11-01,2021-11-02
23,Sociedad,ESP,1,1790.20178223,2021-11-01,2021-11-02
24,Salzburg,AUT,1,1785.95166016,2021-10-31,2021-11-02
25,RB Leipzig,GER,1,1784.01611328,2021-10-31,2021-11-02
26,Leicester,ENG,1,1782.83642578,2021-10-31,2021-11-02
27,Benfica,POR,1,1768.59729004,2021-10-31,2021-11-02
28,Everton,ENG,1,1761.73474121,2021-11-01,2021-11-01
29,Lyon,FRA,1,1758.5534668,2021-11-01,2021-11-01
30,Leverkusen,GER,1,1757.5435791,2021-11-01,2021-11-01
31,Betis,ESP,1,1757.45935059,2021-11-01,2021-11-01
32,Leeds,ENG,1,1756.55285645,2021-11-01,2021-11-01
33,Brighton,ENG,1,1743.98303223,2021-10-31,2021-11-01
34,Wolves,ENG,1,1743.6998291,2021-10-31,2021-11-01
35,Wolfsburg,GER,1,1737.91369629,2021-11-01,2021-11-02
36,Gladbach,GER,1,1737.45141602,2021-11-01,2021-11-02
37,Bilbao,ESP,1,1734.33032227,2021-11-01,2021-11-02
38,Sporting,POR,1,1733.46740723,2021-10-31,2021-11-02
39,Crystal Palace,ENG,1,1732.45410156,2021-10-31,2021-11-02
40,Aston Villa,ENG,1,1732.34643555,2021-11-01,2021-11-02
41,Frankfurt,GER,1,1729.13623047,2021-10-31,2021-11-02
42,Freiburg,GER,1,1724.12451172,2021-11-01,2021-11-02
43,Lille,FRA,1,1720.51953125,2021-11-01,2021-11-02
44,Roma,ITA,1,1716.65087891,2021-11-01,2021-11-02
45,Olympiakos,GRE,1,1713.25366211,2021-11-01,2021-11-03
46,Southampton,ENG,1,1711.40661621,2021-11-01,2021-11-02
47,Valencia,ESP,1,1708.27160645,2021-11-01,2021-11-02
48,Monaco,FRA,1,1707.96582031,2021-11-01,2021-11-02
49,PSV,NED,1,1707.38256836,2021-10-31,2021-11-03
50,Lazio,ITA,1,1704.6418457,2021-10-31,2021-11-02
51,Hoffenheim,GER,1,1699.62060547,2021-10-31,2021-11-02
52,Burnley,ENG,1,1695.54736328,2021-10-31,2021-11-02
53,Osasuna,ESP,1,1694.62768555,2021-10-31,2021-11-02
54,Brentford,ENG,1,1693.26672363,2021-10-31,2021-11-02
55,Celta,ESP,1,1691.13696289,2021-10-31,2021-11-01
56,Union Berlin,GER,1,1690.57470703,2021-10-31,2021-11-02
57,Marseille,FRA,1,1684.09094238,2021-11-01,2021-11-02
58,Newcastle,ENG,1,1683.85900879,2021-10-31,2021-11-02
59,Rennes,FRA,1,1681.97314453,2021-11-01,2021-11-02
60,Young Boys,SUI,1,1681.42980957,2021-11-01,2021-11-02
61,Crvena Zvezda,SRB,1,1680.22058105,2021-11-01,2021-11-02
62,Shakhtar,UKR,1,1675.71972656,2021-11-01,2021-11-02
63,Feyenoord,NED,1,1674.98498535,2021-11-01,2021-11-02
64,Mainz,GER,1,1674.62268066,2021-10-31,2021-11-02
65,Watford,ENG,1,1671.5123291,2021-10-31,2021-11-02
66,Sassuolo,ITA,1,1668.99316406,2021-11-01,2021-11-01
67,Dynamo Kyiv,UKR,1,1667.72412109,2021-10-31,2021-11-01
68,Zenit,RUS,1,1667.47058105,2021-10-31,2021-11-01
69,Nice,FRA,1,1665.91796875,2021-11-01,2021-11-01
70,Slavia Praha,CZE,1,1660.98059082,2021-11-01,2021-11-01
71,Bournemouth,ENG,2,1660.77050781,2021-11-01,2021-11-01
72,Espanyol,ESP,1,1656.76062012,2021-11-01,2021-11-01
73,Fulham,ENG,2,1655.38745117,2021-10-31,2021-11-01
74,Granada,ESP,1,1654.79089355,2021-10-31,2021-11-01
75,Rayo Vallecano,ESP,1,1649.66088867,2021-10-31,2021-11-01
76,Alkmaar,NED,1,1643.53283691,2021-11-01,2021-11-03
77,Brugge,BEL,1,1641.23059082,2021-11-01,2021-11-01
78,Dinamo Zagreb,CRO,1,1638.51208496,2021-11-01,2021-11-01
79,Mallorca,ESP,1,1637.92248535,2021-11-01,2021-11-01
80,Braga,POR,1,1636.65356445,2021-11-01,2021-11-01
81,Fiorentina,ITA,1,1635.09997559,2021-11-01,2021-11-02
82,Lens,FRA,1,1633.85766602,2021-10-31,2021-11-02
83,Levante,ESP,1,1633.57373047,2021-10-30,2021-11-01
84,Montpellier,FRA,1,1632.43798828,2021-11-01,2021-11-01
85,Stuttgart,GER,1,1630.83752441,2021-11-01,2021-11-01
86,Hertha,GER,1,1630.27124023,2021-11-01,2021-11-01
87,Rangers,SCO,1,1627.35217285,2021-11-01,2021-11-01
88,West Brom,ENG,2,1624.80432129,2021-11-01,2021-11-01
89,Alaves,ESP,1,1620.55432129,2021-11-01,2021-11-01
90,Getafe,ESP,1,1618.89477539,2021-11-01,2021-11-01
91,Almeria,ESP,2,1616.47558594,2021-11-01,2021-11-02
92,Norwich,ENG,1,1616.08532715,2021-11-01,2021-11-02
93,Koeln,GER,1,1615.78759766,2021-10-31,2021-11-02
94,Eibar,ESP,2,1613.40893555,2021-11-01,2021-11-02
95,Strasbourg,FRA,1,1611.63549805,2021-11-01,2021-11-02
96,Verona,ITA,1,1608.3067627,2021-11-01,2021-11-02
97,Valladolid,ESP,2,1603.24255371,2021-11-01,2021-11-02
98,Partizan,SRB,1,1602.0859375,2021-11-01,2021-11-02
99,Sampdoria,ITA,1,1600.98791504,2021-11-01,2021-11-02
100,Bodoe Glimt,NOR,1,1599.59106445,2021-11-01,2021-11-02
None,Utrecht,NED,1,1598.4901123,2021-11-01,2021-11-03
None,Nantes,FRA,1,1597.25024414,2021-11-01,2021-11-02
None,Torino,ITA,1,1596.73596191,2021-10-31,2021-11-02
None,Elche,ESP,1,1592.39404297,2021-10-31,2021-11-02
